,inci_all,inci_as,prev_all,prev_as,allmort_all,allmort_as,mortfordementia_all,mortfordementia_as,hw,HW_count,HW_days,HW_degree,HW_mean_length,HW_mean_degree,HW_max_degree,cw,gdp,temp,pop,year,mort_all,mort_as,popweight,sex_ratio,age_ratio,country,gnigroup
1,52.14260111,105.7386258,361.8090612,746.4452184,528.0985546,830.7943329,3008.72531602589,3319.71191310132,202.011895595985,3.03033156231085,17.1819893738651,28.7214978559346,5.66494048019369,9.48175313778547,12.4714762357133,-213.499715836737,2028553750,28.2859604121076,3286542,0,2480.62676142589,2488.91758020132,0.0900137037258169,99.8,22.52,Albania,mid and low income
2,34.56075726,110.125472,230.2326746,766.3508504,607.6499906,1228.006992,2296.64416624902,3754.95495111412,175.359119704871,1.59461194767422,9.10731108165964,15.3654178782751,5.36544423837366,9.07975244493058,11.177680437026,-255.36848565574,62048562947,33.8575537687987,25518074,0,1688.99417564902,2526.94795911412,0.698903696556889,103.8,11.13,Algeria,mid and low income
3,20.29832303,97.37531978,133.5600737,673.2227461,1654.104841,2082.540825,2125.81678816489,3177.61573326615,232.218553022117,3.70377983879701,15.3058921471557,30.1859409325316,3.19458462776293,5.86969174082808,8.82140260384235,-213.854224261051,11228764963,30.808215282283,11828638,0,471.71194716489,1095.07490826615,0.323969545014772,97.7,4.27,Angola,mid and low income
4,79.90249774,93.58829414,542.8122801,643.5076705,760.3895939,830.1272037,2771.78870331161,3254.79013851164,199.301238945971,2.80731528060755,10.0438301858254,18.8373360001307,3.47046823760486,6.54569179255514,7.93122463790684,-238.924333979466,1.41352e+11,30.1105891205546,32637657,0,2011.39910941161,2424.66293481164,0.893898933134837,98,17.91,Argentina,mid and low income
5,105.104132,95.65890975,740.7335859,681.0898861,697.8983909,637.6560656,2938.16813416884,3307.99798672858,193.069029684501,2.14285909492385,8.56988730595598,17.1115655807281,3.94570947754986,7.93416240615255,9.41193959670572,-267.559640481651,3.11327e+11,29.7410804227404,17065128,0,2240.26974326884,2670.34192112858,0.467389546774434,98.6,25.71,Australia,high income
6,149.3444281,91.70170217,1030.709805,637.710074,1052.383801,706.7391476,2905.98258546692,3266.82965024009,191.975123120166,2.56418829071844,12.605296151362,21.1308027861464,5.32632055519674,9.01382751230441,12.7679165768151,-226.006592635537,1.66463e+11,23.8969284006733,7677850,0,1853.59878446692,2560.09050264009,0.210285374460836,96.9,29.49,Austria,high income
7,58.24074886,102.6199773,400.7233035,704.0279827,790.4187523,1037.029088,3066.88908847049,3081.84588583967,195.989083950672,3.96581920903955,14.6457627118644,26.1126945922894,3.62763653483992,6.47256955329324,7.91788257906722,-233.021084145651,8858006036,29.5361024039331,7175200,0,2276.47033617049,2044.81679783967,0.196518506981953,97.4,10.25,Azerbaijan,mid and low income
8,37.44238847,78.38316382,250.1498376,521.2569747,557.1334016,887.1997236,3413.57571722845,4016.19700571845,212.237673068563,3,12,18.8642898571749,4,6.28809661905831,7.44020997945077,-193.148969642159,3.166e+09,29.81737789031,270679,0,2856.44231562845,3128.99728211845,0.00741351222981492,91.6,11.37,Bahamas,high income
9,22.42781198,71.24662847,151.8344502,485.0793756,1032.046025,1509.330325,2745.4020543488,3507.87094564735,151.259388300821,0.650184882621034,2.37845042565999,3.99136044030547,1.54822713331613,2.58346760696485,3.14000778352743,-286.497817648608,31598341233,32.5605299417097,107147651,0,1713.3560293488,1998.54062064735,2.93462152987281,98.4,7.8,Bangladesh,mid and low income
10,116.7791761,101.8777422,811.1408046,712.5902907,1039.410691,907.9136484,2715.46658176836,2974.63266292578,204.51943114082,6.54231964333964,30.1547554714942,52.1698448161061,4.6342709016868,8.03665430044128,14.9393647080713,-222.421910613264,2.165e+10,21.1478412656535,10189348,0,1676.05589076836,2066.71901452578,0.279071727070959,85.5,24.17,Belarus,mid and low income
11,153.5021714,95.26605406,1071.287287,668.8280128,1033.374296,695.2392805,3004.54191612189,3324.67048844279,223.113410870467,6,26.4349258649094,53.1232781774798,4.4058209774849,8.85387969624663,12.0375951083975,-212.631455379206,2.05332e+11,23.1325611098892,9967379,0,1971.16762012189,2629.4312079428,0.272992312354119,97.6,30.84,Belgium,high income
12,37.08562839,79.83091999,244.928435,526.1460008,489.7954416,757.7027574,3895.77047924223,4028.47604424859,110.617845773647,0,0,0,0,0,0,-334.521346135854,412086445.5,33.2590529754578,182589,0,3405.97503764223,3270.77328684859,0.00500085261335263,101.2,7.81,Belize,mid and low income
13,24.05887024,75.41273041,156.2228602,482.2547421,1375.138995,1611.38104,4315.34016172109,5165.62137088004,228.696543876255,2.79693022805404,13.0138478671379,25.2736755651558,4.58558885714747,8.87801188612801,13.8218177829128,-227.357084426179,1959965244,37.3811912200519,5133419,0,2940.20116672109,3554.24033088004,0.140597033893521,100.3,6,Benin,mid and low income
14,16.91953605,69.49525313,112.0519603,454.7189826,924.882163,1390.483949,2651.77135950561,3846.04236225259,150.906702569301,0.982301801694118,2.98349708748695,4.53685959087337,2.88344369805487,4.37695573949428,4.39186086071329,-272.36376326313,287658184,24.3646097988014,558442,0,1726.88919650561,2455.55841325259,0.0152949308836013,112.5,9.16,Bhutan,mid and low income
15,28.99903375,81.75734438,188.0952567,521.9982658,954.2386902,1334.281757,3350.81399264227,4333.4657453952,172.937943790822,1.47842677425125,6.22581831190254,10.5151238242724,3.43840219673934,5.8484497102368,7.05062829998386,-268.711869699772,4867582598,25.8830630440814,7096194,0,2396.57530244227,2999.1839883952,0.194354645185401,100.6,12.17,Bolivia,mid and low income
16,25.20323466,90.03966988,168.1684936,608.9545804,797.1250011,1454.448159,2603.73931779098,3731.39986812718,201.274790458428,2.43679989287471,9.74253025559687,16.5418956425046,3.99464163449664,6.80064092352565,9.49393308681208,-223.689127401373,3790567052,33.7050072317553,1341474,0,1806.61431669098,2276.95170912718,0.0367410619404488,97.5,7.47,Botswana,mid and low income
17,45.46827818,102.4578014,317.5767506,716.0059788,661.1524036,1019.924424,2816.78306995059,3742.04000711062,194.002453812303,2.387173096676,8.88668432599838,16.6184823940606,3.33813503120169,6.16788886355137,7.16971055458306,-252.6275564981,3.90726e+11,29.887236895741,150706446,0,2155.63066635059,2722.11558311062,4.12763487574929,96.6,14.28,Brazil,mid and low income
